INCIDENCECODE,CLUSTER
250490991760_0,4
250490991760_1,4
250490991760_2,100
2505789359205,1
2508302097750,16
2508477453069,-1
2512665216831,38
2517693982854,16
2523129513377_1,24
2529092117438_1,45
2529179590805,-1
2533020993331,4
2534716578235_1,13
2536284105243,10
2540586021775,16
254473322214_1,-1
255866550212_1,-1
2563692858574,-1
2567890145655_0,98
2567890145655_1,3
2573909126844_1,84
2579806583529_1,-1
258262770367_1,4
2583252187676,86
2584298107444,54
2585198056023,4
2586050481789,18
2587994554979,20
2588438618288,4
2595743769765_0,4
2595743769765_1,101
2598943685709,18
2602020854781,-1
2605616715144,4
2611122131150,16
2612838892662,45
2619634475810,-1
2626324898724,4
2628935009492,85
264437399657_0,4
264437399657_1,13
2647898512048,94
2648045855288,48
2648487729674,-1
2650646422833_1,3
2655064643193,13
2656829843608_0,39
2656829843608_1,17
2660964070602_0,31
2660964070602_1,36
266305686089,79
2667346120761,44
2667542135305_1,9
2669844754372,-1
2671681554907,4
2682371334632_1,3
2682914057920,42
2687893782094,1
269030687364_1,81
2694794104462,16
2697067692837_0,93
2697067692837_1,-1
2697067692837_2,93
2697067692837_3,45
2703036889089_1,4
2723495126518_1,-1
2723495126518_2,4
2730443036817_1,32
2736487247168,9
273850223506,1
2738668140032,18
2746121469474,1
274888394209_1,-1
2751764546320,45
2756943889127_0,28
2756943889127_1,100
2757744033345,16
2767248658549_1,4
276758911893,1
2768235984802_1,3
2769149541226_0,46
2769149541226_1,5
2769149541226_2,4
2772038166557_1,81
2774110340645,79
2790988226884,46
279199072482,-1
279229843969_1,-1
2795394888567,4
2795618734775,38
2797701207793,1
2799021065443,18
280030319655_1,4
2803350334672_1,4
2815254679127,3
2817689004463_0,-1
2817689004463_1,3
282472204443,-1
2827260647872_0,14
2827260647872_1,24
2830706563656,102
2834441311016_1,5
2834441311016_2,81
2844842752788,48
2851565023548,4
2859410972361_1,4
2861385306600_1,4
2862665384356_0,96
2862665384356_1,103
2871532324236,48
2873602463224_1,104
2876210948936,38
2876211517111,16
2876901745537,24
2877377645442,16
2881512775500,56
2885498551471_1,83
2885711606873,2
2894053703132,1
289523435926,-1
2896161627342_0,4
2896161627342_1,-1
2909436036019,54
2911086697291,16
2916860354200_1,102
2916860354200_2,20
2917634523044_1,96
2918001889467,9
292383953773,1
2924295973293,16
2927507195493_0,87
2927507195493_1,17
2929436089546_0,5
2929436089546_1,67
2930977597312,-1
2948289563143,1
2957046129705_1,7
2957677812859,4
2958035986309_1,-1
297624888145,1
2977843026461_1,-1
2977843026461_2,74
2979188782723_0,3
2979188782723_1,-1
2979582875607,16
2981468846774_0,-1
2981468846774_1,91
2982452882160,24
2990540708149,-1
2993983880832_1,3
2994147454362,86
3006481342185,15
3006740713428,36
3008039396470,4
3012084410014_1,32
3013919356959,-1
3015108418839,7
3021388771498_0,85
3021388771498_1,-1
3022801043354,89
3029811205088_1,-1
3029811205088_2,15
302990244207_0,4
302990244207_1,8
303055297060_1,105
303055297060_2,75
3030922893651_1,-1
3030922893651_2,-1
3032464273758_1,88
3034704810986,22
3035268380306_1,37
303930467096,77
3039716650752,22
3042080737384,-1
304525669670_1,85
304525669670_2,-1
304644352808,45
3046702291215_1,-1
3048252281521,38
3052040091334_1,5
3052040091334_2,4
3054780420118,1
3055713724278,4
3063705466971,16
3066082825756,54
3067638645138,16
3071311601084,-1
3077160917430_1,4
3078400522661,4
3079736801924,1
3082238778553_0,34
3082238778553_1,82
3082238778553_2,23
3084798148265,39
3089776039120_1,4
3100097403428,48
3105712743471,78
3108965933902,48
3117741044769_1,4
3124885491883_1,32
3128855379128_0,1
3128855379128_1,-1
3132684885773_0,9
3132684885773_1,82
3132684885773_2,23
3136459893145,4
313675818502,-1
3139653762238,76
3143630635275,75
3143962581263_0,28
3143962581263_1,85
3149247152014_1,43
3149247152014_2,59
3149247152014_3,4
3153380665036_0,87
3153380665036_1,17
3156993981160_1,47
3158099391483,45
315913012081,45
3171224973807_0,-1
3171224973807_1,-1
3172124076558,16
3174247745780,1
3174623524090_0,39
3174623524090_1,17
3184431623089_1,4
3195131444863,1
3195798495405,106
3196656004317,18
3196956107693_1,5
3196956107693_2,-1
3196956107693_3,103
3198393220064_1,-1
3203826994832,16
3204360560084,16
3205871440265_0,4
3205871440265_1,25
3205871440265_2,13
3205871440265_3,-1
3206348259145,39
3206689637561,-1
3214050431237,1
3232691226160,1
3239487775725_1,-1
3239487775725_2,106
3239487775725_3,58
3248696399715_0,9
3248696399715_1,9
3249977575350,48
3250139736372,4
3255949467679,16
3257300937221,39
3259624511337_0,11
3259624511337_1,12
3259624511337_2,13
326986242397,1
3276624651632,4
3280103374787,-1
3281168091403_0,-1
3281168091403_1,-1
3286129573690_0,77
3286129573690_1,74
3297217392250,4
3297766672726_1,4
3304383544701,4
3304943400163_0,28
3304943400163_1,1
3305378447717,16
3313239953405_0,87
3313239953405_1,17
3322735353326_0,-1
3322735353326_1,6
3323338603416,10
3323614987641_0,-1
3323614987641_1,106
3324105008796,16
3325644155388_0,4
3325644155388_1,24
3334162372281,16
3338355677011_1,4
3339522265260,48
3339643790065,4
3340940814248,14
334247683456,1
3342513496120_0,38
3342513496120_1,5
3342513496120_2,4
3342513496120_3,107
3342513496120_4,3
3347999286106_1,9
3347999286106_2,4
3347999286106_3,4
3349481349655_0,36
3349481349655_1,1
3349695569227_0,96
3349695569227_1,103
3358545168106,-1
3360093304466_1,55
3361854090766_1,-1
3361949357554_0,18
3361949357554_1,-1
3363140791305,20
336814058756,16
3371194811219,13
3371985680799_1,78
3371985680799_2,4
3376052634111,-1
3378183846158,4
3380838166988,1
3384488300781_1,52
3384488300781_2,53
3389438222228,-1
3391733291016,-1
3393423047636_1,75
3403781975835,4
3409342455911,1
3411711906619_1,32
3413702745215,-1
